equipment_id,equipment_type,runtime_hours,temperature,fault_count_30_days,downtime_minutes_30_days,days_since_last_pm,sensor_reading,throughput_rate,failure_next_7_days,fault_type
EQ_0395,induct station,1116,54.08,8,74,72,19.24,1375,1,sensor_fault
EQ_0396,conveyor,2009,97.54,1,208,84,61.34,1127,1,motor_fault
EQ_0397,divert,2536,81.98,3,180,87,61.99,587,0,none
EQ_0398,divert,1584,74.95,5,365,20,45.23,879,0,none
EQ_0399,robot,1382,75.53,1,289,20,38.8,549,0,none
EQ_0400,conveyor,2825,57.57,3,59,10,43.06,538,0,none
EQ_0401,sorter,686,88.21,3,354,44,72.51,1635,0,none
EQ_0402,robot,1901,67.84,3,183,98,49.63,1276,1,sensor_fault
EQ_0403,sorter,2887,84.5,8,218,85,74.62,1605,1,sensor_fault
EQ_0404,conveyor,894,77.37,5,195,59,75.56,844,0,none
EQ_0405,conveyor,2321,75.08,4,94,54,45.5,1655,0,none
EQ_0406,sorter,2093,52.84,3,221,67,62.96,1935,1,belt_issues
EQ_0407,divert,1716,83.3,4,205,32,43.54,2134,0,none
EQ_0408,conveyor,436,74.34,4,286,85,61.08,1261,0,none
EQ_0409,induct station,1669,67.94,0,126,42,36.7,2149,0,none
EQ_0410,induct station,325,62.17,2,57,72,40.88,2254,0,none
EQ_0411,divert,158,79.71,3,155,89,58.62,2224,0,none
EQ_0412,sorter,936,45.03,5,93,21,42.5,2147,0,none
EQ_0413,induct station,1640,63.38,3,383,52,59.8,1425,0,none
EQ_0414,induct station,466,68.67,4,154,62,60.4,1791,0,none
EQ_0415,induct station,1394,62.96,1,350,17,56.94,2004,0,none
EQ_0416,sorter,2513,91.53,5,199,105,52.68,2468,1,sensor_fault
EQ_0417,conveyor,276,57.92,2,358,28,40.15,772,0,none
EQ_0418,conveyor,1079,63.93,5,57,13,67.2,807,0,none
EQ_0419,induct station,1026,88.51,3,283,1,72.09,2461,0,none
EQ_0420,sorter,259,78.23,4,366,16,53.45,683,0,none
EQ_0421,sorter,2569,70.27,2,117,106,20.08,1596,1,overheating
EQ_0422,induct station,1355,62.24,2,282,80,62.81,1636,0,none
EQ_0423,conveyor,320,91.28,4,131,87,48.29,2211,0,none
EQ_0424,divert,2280,76.27,6,371,38,35.79,2288,1,sensor_fault
EQ_0425,conveyor,299,82.98,4,363,47,40.34,970,0,none
EQ_0426,induct station,2037,67.05,6,202,61,52.83,691,1,sensor_fault
EQ_0427,induct station,2102,69.22,5,266,92,46.27,607,1,overheating
EQ_0428,divert,893,81.52,3,93,73,55.66,1114,0,none
EQ_0429,divert,2795,55.11,1,75,1,37.09,1962,0,none
EQ_0430,robot,327,84.68,3,208,22,29.97,1177,0,none
EQ_0431,induct station,2708,62.55,3,336,112,29.04,1089,1,overheating
EQ_0432,divert,478,72.59,4,244,35,58.28,1583,0,none
EQ_0433,induct station,55,71.6,4,58,64,53.39,1253,0,none
EQ_0434,divert,2243,84.46,2,398,19,46.83,1074,0,none
EQ_0435,induct station,2848,70.96,5,144,71,53.36,862,0,none
EQ_0436,sorter,1123,74.54,3,238,68,38.24,1307,0,none
EQ_0437,induct station,236,72.74,2,135,24,41.93,2306,0,none
EQ_0438,induct station,220,67.48,1,363,115,33.28,602,0,none
EQ_0439,robot,1051,64.2,1,369,69,35.24,2408,0,none
EQ_0440,sorter,2830,64.01,2,121,110,18.26,1119,1,motor_fault
EQ_0441,divert,2103,85.86,3,111,63,42.9,1334,0,none
EQ_0442,induct station,860,96.09,6,250,106,39.62,2038,1,sensor_fault
EQ_0443,robot,1466,97.79,3,82,47,66.06,1592,0,none
EQ_0444,induct station,2981,51.02,1,367,111,68.92,1548,1,jam
EQ_0445,robot,1659,67.91,0,333,99,46.63,615,0,none
EQ_0446,sorter,2145,72.2,0,213,45,40.82,1402,0,none
EQ_0447,robot,2600,67.14,1,53,75,35.48,1283,0,none
EQ_0448,robot,290,69.7,3,245,2,65.68,1997,0,none
EQ_0449,robot,876,107.15,3,379,12,69.5,640,0,none
EQ_0450,divert,1839,72.38,2,89,80,41.5,1303,0,none
EQ_0451,conveyor,2893,79.7,2,70,109,42.44,1703,0,none
EQ_0452,sorter,1454,54.81,2,105,21,39.87,563,0,none
EQ_0453,sorter,2262,70.72,1,163,2,56.84,1417,0,none
EQ_0454,sorter,273,73.32,0,44,19,52.37,970,0,none
EQ_0455,induct station,2131,84.3,4,37,70,32.93,1639,0,none
EQ_0456,sorter,2336,72.74,2,342,75,55.33,2200,1,sensor_fault
EQ_0457,conveyor,327,63.64,2,134,68,63.41,1670,0,none
EQ_0458,induct station,539,85.26,4,371,10,66.73,629,0,none
EQ_0459,induct station,2291,86.55,6,366,50,21.75,1407,1,motor_fault
EQ_0460,divert,2704,67.61,4,259,108,1.41,1030,1,belt_issues
EQ_0461,induct station,2507,71.76,2,282,113,45.93,681,1,jam
EQ_0462,sorter,705,65.92,0,265,60,44.84,797,0,none
EQ_0463,induct station,857,91.93,3,184,84,30.97,1253,1,belt_issues
EQ_0464,divert,2460,82.41,2,9,96,31.48,1004,0,none
EQ_0465,conveyor,1761,78.91,2,385,31,45.91,1068,0,none
EQ_0466,divert,1151,93.07,2,393,110,43.71,1345,1,belt_issues
EQ_0467,induct station,1942,57.98,3,21,78,65.88,1138,0,none
EQ_0468,conveyor,2945,88.48,4,148,104,42.54,2278,0,none
EQ_0469,robot,1535,71.23,4,14,44,48.93,1924,0,none
EQ_0470,robot,730,77.0,4,42,97,2.18,1768,0,none
EQ_0471,induct station,1428,62.43,0,287,40,38.63,2432,0,none
EQ_0472,induct station,2348,93.99,4,128,84,53.4,1439,1,overheating
EQ_0473,divert,1928,77.21,1,19,46,54.92,2486,0,none
EQ_0474,divert,2290,74.87,5,187,35,20.06,1208,1,sensor_fault
EQ_0475,induct station,1548,80.27,4,170,13,35.11,2432,0,none
EQ_0476,sorter,2285,68.95,3,199,42,65.72,1357,0,none
EQ_0477,robot,2724,108.66,1,210,112,40.37,2074,1,belt_issues
EQ_0478,induct station,2532,92.17,3,274,64,84.18,1401,1,jam
EQ_0479,induct station,991,98.28,3,375,7,66.34,766,0,none
EQ_0480,robot,2456,61.61,4,87,80,47.77,2412,0,none
EQ_0481,induct station,1342,87.19,4,10,92,65.16,1961,0,none
EQ_0482,sorter,2074,71.77,3,352,36,44.89,1281,0,none
EQ_0483,induct station,2431,77.99,1,92,45,39.17,578,0,none
EQ_0484,sorter,671,75.44,4,86,89,64.4,2013,0,none
EQ_0485,divert,1922,107.33,3,187,34,41.87,2039,1,overheating
EQ_0486,conveyor,962,96.01,1,177,73,63.63,688,0,none
EQ_0487,induct station,340,74.05,4,155,29,42.29,1027,0,none
EQ_0488,divert,608,74.11,3,131,30,64.01,2193,0,none
EQ_0489,divert,1351,105.26,4,345,87,43.93,1613,1,jam
EQ_0490,conveyor,2487,83.23,6,392,118,12.02,904,1,belt_issues
EQ_0491,sorter,893,70.92,2,372,44,62.66,2473,0,none
EQ_0492,induct station,323,88.09,2,94,11,53.12,1079,0,none
EQ_0493,sorter,940,56.69,6,143,95,65.96,2433,0,none
EQ_0494,conveyor,1752,61.87,3,214,69,57.58,2077,0,none
EQ_0495,robot,529,79.89,2,386,83,68.48,1277,0,none
EQ_0496,induct station,2445,84.66,5,174,4,28.27,2214,0,none
EQ_0497,robot,646,78.58,3,326,15,43.56,1338,0,none
EQ_0498,sorter,1687,46.21,3,305,12,70.27,1868,0,none
EQ_0499,induct station,1773,78.63,5,140,43,34.09,2369,0,none
EQ_0500,robot,1869,91.84,3,67,46,70.8,1772,1,motor_fault
